station_id,station_name,item_code,item_name,freq,source,n_days,n_valid,n_missing,n_imputed,missing_ratio,quality_flag,date_start,date_end,train_end,test_start,test_end
53029,下关水化站,4312,水温观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53029,下关水化站,4221,汞浓度观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53029,下关水化站,4222,汞浓度观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53034,昭通SK3井观测点,4212,氡浓度观测,daily,oridata,527,526,1,3,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53034,昭通SK3井观测点,4112,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53034,昭通SK3井观测点,4313,水温观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53034,昭通SK3井观测点,4222,汞浓度观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53041,会泽县局,4112,水位观测,daily,oridata,527,519,8,244,0.0152,usable,2025-01-01,2026-06-11,2026-02-22,2026-02-23,2026-06-06
53041,会泽县局,4311,水温观测,daily,oridata,527,422,105,0,0.1992,usable,2025-01-01,2026-06-11,2025-12-03,2025-12-04,2026-02-26
53041,会泽县局,4312,水温观测,daily,oridata,527,161,366,0,0.6945,low_quality,2025-01-01,2026-06-11,2026-05-08,2026-05-09,2026-06-10
53043,楚雄州局,4111,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53043,楚雄州局,4313,水温观测,daily,oridata,527,503,24,2,0.0455,usable,2025-01-01,2026-06-11,2026-03-01,2026-03-02,2026-06-10
53043,楚雄州局,4224,汞浓度观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53044,罗茨水化站,4212,氡浓度观测,daily,oridata,527,526,1,13,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53045,大姚县局,4112,水位观测,daily,oridata,527,526,1,2,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53045,大姚县局,4311,水温观测,daily,oridata,527,526,1,2,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53050,华宁县局,4222,汞浓度观测,daily,oridata,527,526,1,2,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53052,澄江县局,4212,氡浓度观测,daily,oridata,527,526,1,5,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53052,澄江县局,4112,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53052,澄江县局,4312,水温观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53052,澄江县局,4224,汞浓度观测,daily,oridata,527,513,14,7,0.0266,usable,2025-01-01,2026-06-11,2026-02-27,2026-02-28,2026-06-10
53053,普洱大寨,4211,氡浓度观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53053,普洱大寨,4111,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53053,普洱大寨,4311,水温观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53053,普洱大寨,4221,汞浓度观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53053,普洱大寨,4222,汞浓度观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53054,景谷县局,4112,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53054,景谷县局,4312,水温观测,daily,oridata,527,526,1,1,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53056,勐腊县局,4111,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53056,勐腊县局,4313,水温观测,daily,oridata,527,526,1,5,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53070,红河州局,4313,水温观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53070,红河州局,4224,汞浓度观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
